"","Inc_month","Site","Location","Depth","Analyte","Spike_µg_L","Mean_Spike_Conc","Volume_lake_water_L","Type","NO2_NO3_mgNL","NH4_mgNL","Conc_ugNLK","pH","Weight_g","AFDM_g","real_icu_hrc","delta_Conc_ugNL","delta_Conc_ugNLhr","water_delta_Conc_ugNLhr","net_delta_Conc_ugNLhr","net_delta_Conc_ugNLhr_OM","flag"
"98","July","GB3m","GB",3,"NO3",1600,1570,0.025,"sediment",1.653,NA,1653,8.18,2.01,0.006941209897,6.31666666666667,83,13.1398416886544,21.7302798982188,-8.59043820956447,30.9399886224348,FALSE
"99","July","GB3m","GB",3,"NO3",1600,1570,0.025,"sediment",1.65,NA,1650,8.18,2.08,0.007182943575,6.31666666666667,80,12.664907651715,21.7302798982188,-9.06537224650379,31.5517313753359,FALSE
"100","July","GB3m","GB",3,"NO3",1600,1570,0.025,"sediment",1.687,NA,1687,8.18,2.09,0.007217476958,6.31666666666667,117,18.5224274406332,21.7302798982188,-3.20785245758558,11.1114052606359,FALSE
"101","July","GB3m","GB",3,"NO3",2000,1977.33333333333,0.025,"sediment",2.015,NA,2015,8.18,2.09,0.007217476958,6.38333333333333,37.666666666667,5.90078328981728,10.1772151898734,-4.27643190005615,14.812766029395,FALSE
"102","July","GB3m","GB",3,"NO3",2000,1977.33333333333,0.025,"sediment",2,NA,2000,8.18,2.03,0.007010276662,6.38333333333333,22.6666666666667,3.55091383812012,10.1772151898734,-6.62630135175331,23.63066991233,FALSE
"103","July","GB3m","GB",3,"NO3",2000,1977.33333333333,0.025,"sediment",2.071,NA,2071,8.18,2.09,0.007217476958,6.38333333333333,93.6666666666667,14.6736292428199,10.1772151898734,4.49641405294643,-15.5747433594592,FALSE
"104","July","SH3m","SH",3,"NO3",0,0,0.025,"sediment",0.019,NA,19,8.18,2.05,0.029527416,6.26666666666667,19,3.03191489361702,1.07969151670951,1.95222337690751,-1.65289046703876,FALSE
"105","July","SH3m","SH",3,"NO3",0,0,0.025,"sediment",0.016,NA,16,8.18,1.94,0.02794301807,6.26666666666667,16,2.5531914893617,1.07969151670951,1.47349997265219,-1.31830782287093,FALSE
"106","July","SH3m","SH",3,"NO3",0,0,0.025,"sediment",0.013,NA,13,8.18,2,0.02880723512,6.26666666666667,13,2.07446808510638,1.07969151670951,0.994776568396871,-0.863304447869615,FALSE
"107","July","SH3m","SH",3,"NO3",100,117.333333333333,0.025,"sediment",0.106,NA,106,8.18,2.01,0.0289512713,6.26666666666667,-11.3333333333333,-1.80851063829787,-0.259067357512953,-1.54944328078492,1.3379751658651,FALSE
"108","July","SH3m","SH",3,"NO3",100,117.333333333333,0.025,"sediment",0.105,NA,105,8.18,1.98,0.02851916277,6.26666666666667,-12.3333333333333,-1.96808510638298,-0.259067357512953,-1.70901774887003,1.49813106598959,FALSE
"109","July","SH3m","SH",3,"NO3",100,117.333333333333,0.025,"sediment",0.145,NA,145,8.18,2.02,0.02909530747,6.26666666666667,27.6666666666667,4.41489361702128,-0.259067357512953,4.67396097453423,-4.01607800446302,FALSE
"110","July","SH3m","SH",3,"NO3",200,214.666666666667,0.025,"sediment",0.215,NA,215,8.18,1.95,0.02808705424,6.26666666666667,0.333333333333343,0.0531914893617036,4.43298969072165,-4.37979820135995,3.89841362851296,FALSE
"111","July","SH3m","SH",3,"NO3",200,214.666666666667,0.025,"sediment",0.203,NA,203,8.18,1.96,0.02823109042,6.26666666666667,-11.6666666666667,-1.86170212765957,4.43298969072165,-6.29469181838122,5.57425494794369,FALSE
"112","July","SH3m","SH",3,"NO3",200,214.666666666667,0.025,"sediment",0.209,NA,209,8.18,1.98,0.02851916277,6.26666666666667,-5.66666666666666,-0.904255319148935,4.43298969072165,-5.33724500987059,4.67864804878228,FALSE
"113","July","SH3m","SH",3,"NO3",800,853.333333333333,0.025,"sediment",0.813,NA,813,8.18,2.02,0.02909530747,6.31666666666667,-40.3333333333334,-6.38522427440634,9.46564885496183,-15.8508731293682,13.6197848619678,FALSE
"114","July","SH3m","SH",3,"NO3",800,853.333333333333,0.025,"sediment",0.754,NA,754,8.18,2.07,0.02981548835,6.31666666666667,-99.3333333333334,-15.7255936675462,9.46564885496183,-25.191242522508,21.1226143831617,FALSE
